label,message
spam,Get a free trial of our new service.
ham,Can you send me the latest version of the file?
spam,You have been selected for a free trial membership.
ham,Thank you for your assistance.
spam,Your account has been locked. Unlock now.
ham,Please let me know if you need any help.
spam,Get a free quote for your car insurance.
ham,I'll send you the updated document by tomorrow.
spam,You have a pending payment. Complete it now.
ham,Can you provide an update on the status?
spam,Your account is eligible for a free upgrade. Accept now.
ham,Thank you for your feedback.
spam,Get a free consultation with our team.
ham,Please see the attached file for your reference.
spam,You have been selected for a free gift.
ham,I'll be in touch soon.
spam,Your account has been suspended. Click here to reactivate.
ham,Can you send me the updated report?
spam,Get a free sample of our latest product. Order now.
ham,Thank you for your help.
spam,You have a new security alert. Review now.
ham,Please let me know if you have any questions.
spam,Your account is eligible for a free trial. Start today.
ham,I'll send you the final version by end of day.
spam,Get a free quote for your insurance needs. Apply now.
ham,Can you review the attached document and provide feedback?
spam,You have been selected for a free membership. Join now.
ham,Thank you for your assistance with the project.
spam,Your account has been compromised. Take action now.
ham,Please see the attached file for your review.
spam,Get a free consultation with our experts. Schedule now.
ham,I'll be available for a call after 3pm.
spam,You have a pending refund. Claim it today.
ham,Can you send me the updated schedule?
spam,Your account is eligible for a free trial. Sign up now.
ham,Thank you for your support.
spam,Get a free sample of our new product. Try now.
ham,Please let me know if you have any questions about the report.
spam,You have been selected for a free subscription. Activate now.
ham,I'll send you the meeting notes by tomorrow.
spam,Your account has been compromised. Change your password now.
ham,Can you provide the latest update on the project?
spam,Get a free sample of our latest product. Request now.
ham,Thank you for your help with the event.
spam,You have a new message from your bank. Read now.
ham,Please see the attached document for your review.
spam,Your account is eligible for a free consultation. Book now.
ham,I'll be available for a call after 4pm.
spam,Get a free trial of our new service. Sign up now.
ham,Can you send me the latest version of the file?
spam,You have been selected for a free trial membership. Join now.
ham,Thank you for your assistance.
spam,Your account has been locked. Click here to unlock.
ham,Please let me know if you need any help.
spam,Get a free quote for your car insurance. Apply now.
ham,I'll send you the updated document by end of day.
spam,You have a pending payment. Complete it today.
ham,Can you provide an update on the status?
spam,Your account is eligible for a free upgrade. Accept today.
ham,Thank you for your feedback.
spam,Get a free consultation with our team. Book now.
ham,Please see the attached file for your reference.
spam,You have been selected for a free gift. Claim now.
ham,I'll be in touch soon.
spam,Your account has been suspended. Reactivate now.
ham,Can you send me the updated report?
spam,Get a free sample of our latest product. Try now.
ham,Thank you for your help.
spam,You have a new security alert. Check your account now.
ham,Please let me know if you have any questions.

spam,You have been selected for a free iPad. Click here to claim.
ham,The team meeting is scheduled for 10am tomorrow.
spam,Your PayPal account is on hold. Resolve now.
ham,Please review the attached spreadsheet for accuracy.
spam,Get a free Netflix subscription for a year!
ham,Let me know if you need any changes to the document.
spam,You have a pending wire transfer. Confirm your details.
ham,The client has approved the proposal.
spam,Your Amazon order has been delayed. Update your info.
ham,I'll be working remotely this week.
spam,Get a free Uber ride. Limited time offer!
ham,Please see the attached travel plan.
spam,Your Gmail storage is almost full. Upgrade now.
ham,Thank you for your input on the design.
spam,You have been selected for a free Starbucks gift card.
ham,Can you send me the updated contact list?
spam,Your Dropbox account will be deleted. Take action.
ham,I'll join the call at 11am.
spam,Get a free trial of our antivirus software.
ham,The agenda for the meeting is attached.
spam,Your LinkedIn profile is incomplete. Update now.
ham,Please confirm your attendance for the workshop.
spam,You have a new friend request. View now.
ham,I'll send the feedback by end of day.
spam,Get a free sample of our skincare product.
ham,Thank you for your help with the survey.
spam,Your Microsoft account needs verification. Click here.
ham,Can you review the attached code changes?
spam,You have been selected for a free hotel stay.
ham,I'll be available for a call after lunch.
spam,Get a free trial of our premium newsletter.
ham,Please see the attached minutes from the meeting.
spam,Your Facebook account is at risk. Secure it now.
ham,Let me know if you have any questions about the schedule.
spam,You have a new voicemail from your bank. Listen now.
ham,Thank you for your assistance with the event.
spam,Get a free consultation with our legal team.
ham,I'll send you the updated timeline tomorrow.
spam,Your Apple ID has been locked. Reset your password.
ham,Please review the attached marketing plan.
spam,You have been selected for a free Amazon Prime membership.
ham,Can you send me the updated invoice?
spam,Get a free trial of our online fitness program.
ham,The project plan is attached for your review.
spam,Your Instagram account has a new login. Check now.
ham,I'll be in the office after 1pm.
spam,You have a new message from your insurance provider.
ham,Thank you for your feedback on the draft.
spam,Get a free trial of our language learning app.
ham,Please see the attached summary for your review.
spam,Your Twitter account has been flagged. Take action.
ham,Can you send me the updated project schedule?
spam,You have been selected for a free online course.
ham,I'll send you the updated slides by tomorrow.
spam,Get a free trial of our stock trading platform.
ham,Thank you for your help with the budget.
spam,Your account is eligible for a free eBook download.
ham,Please review the attached user guide.
spam,You have a new message from your HR department.
ham,I'll be available for a call at 4pm.
spam,Get a free trial of our cloud storage service.
ham,The updated contract is attached for your signature.
spam,Your account has been selected for a free webinar.
ham,Can you send me the updated report by Friday?
spam,You have a new message from your doctor. View now.
ham,Thank you for your help with the onboarding process.
spam,Get a free trial of our project management tool.
ham,Please see the attached checklist for your review.
spam,Your account is eligible for a free online workshop.
ham,I'll send you the updated presentation by end of day.
spam,You have a new message from your utility provider.
ham,Thank you for your help with the training session.
spam,Get a free trial of our CRM software.
ham,Please review the attached policy document.
spam,Your account has been selected for a free consultation.
ham,Can you send me the updated budget?
spam,You have a new message from your landlord. View now.
ham,I'll be available for a call at 3pm.
spam,Get a free trial of our time tracking app.
ham,The updated schedule is attached for your review.
spam,Your account is eligible for a free online seminar.
ham,Thank you for your help with the client meeting.
spam,You have a new message from your accountant.
ham,Please see the attached summary for your approval.
spam,Get a free trial of our password manager.
ham,Can you send me the updated project plan?
spam,Your account has been selected for a free health checkup.
ham,I'll send you the updated document by end of day.
spam,You have a new message from your travel agent.
ham,Thank you for your help with the relocation.
spam,Get a free trial of our online marketing tool.
ham,Please review the attached training materials.
spam,Your account is eligible for a free online assessment.
ham,Can you send me the updated list of contacts?
spam,You have a new message from your real estate agent.
ham,I'll be available for a call at 2pm.
spam,Get a free trial of our online survey tool.
ham,The updated proposal is attached for your review.
spam,Your account has been selected for a free resume review.
ham,Thank you for your help with the interview process.
spam,You have a new message from your recruiter.
ham,Please see the attached summary for your records.
spam,Get a free trial of our online scheduling tool.
ham,Can you send me the updated project timeline?
spam,Your account is eligible for a free online tutorial.
ham,I'll send you the updated slides by end of day.
spam,You have a new message from your financial advisor.
ham,Thank you for your help with the audit.
spam,Get a free trial of our online invoicing tool.
ham,Please review the attached checklist for your approval.
spam,Your account has been selected for a free online demo.
ham,Can you send me the updated project report?
spam,You have a new message from your IT support team.
ham,I'll be available for a call at 1pm.
spam,Get a free trial of our online collaboration tool.
ham,The updated agenda is attached for your review.
spam,Your account is eligible for a free online course.
ham,Thank you for your help with the documentation.
spam,You have a new message from your payroll department.
ham,Please see the attached summary for your information.
spam,Get a free trial of our online accounting tool.
ham,Can you send me the updated project budget?
spam,Your account has been selected for a free online seminar.
ham,I'll send you the updated document by Friday.
